Ontology ID	label	parent class	Definition distilled from the GCW synthesis work	Definition's database cross reference	comment	Comment's database cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	SWEET cross reference	general cross reference	subclass axiom	creation date	created by
ID	AL rdfs:label@en	SC %	AL IAO:0000115@en	>AI oboInOwl:hasDbXref SPLIT=|	AL rdfs:comment@en	>AI oboInOwl:hasDbXref SPLIT=|	AL IAO:0000116@en	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	A oboInOwl:inSubset SPLIT=|	AI oboInOwl:hasDbXref	AI oboInOwl:hasDbXref SPLIT=|	SC % SPLIT=|	AT oboInOwl:creation_date^^xsd:dateTime	AI oboInOwl:created_by SPLIT=|
ENVO:09200020							Make sure to make the DOSDP target for this term:  https://github.com/EnvironmentOntology/envo/blob/master/src/envo/modules/entity_attribute.csv#L18				snow cover	envoPolar|envoCryo	http://sweetontology.net/phenHydro/SnowCover			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:01000896		water-based rainfall	Water-based rainfall which freezes either 1) on impact with a surface to form a coating of clear ice (glaze) or 2) after percolating through surface layers.  	https://orcid.org/0000-0003-4808-4736	A surface temperature inversion is usually required. In such an inversion, the surface must have a temperature below freezing, while the temperature of the atmosphere where the precipitation forms is above freezing. Alternately, if the temperature of the ground surface and glazed objects is typically near or below freezing (0C or 32F), it is necessary that the water drops be supercooled before striking. Freezing rain can sometimes occur on surfaces exposed to the air (such as tree limbs) with air temperatures slightly above freezing in strong winds. Local evaporational cooling may result in freezing. Freezing rain frequently occurs, therefore, as a transient condition between the occurrence of rain and ice pellets (sleet). When encountered by an aircraft in flight, freezing rain can cause a dangerous accretion of clear icing. In aviation weather observations, this hydrometeor is encoded ZR by NOAA.	https://orcid.org/0000-0003-4808-4736	This term exists, we're revising the definition with ESIP semantic Harmonization group, delete the old one.   Consider adding axioms like PATO:"decreased temperature" to this and other cold forms of precipitation, such that we can create a grouping class to be filled by inference (with hail, sleet, snow, freezing rain). Something like precipitation below the liquid-solid phase transition point of water.					envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/FreezingRain			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400010	freezing rain	water-based rain	Water-based rain which is composed of supercooled water droplets, which freeze on contact with surfaces. 		There are communities which consider rain with droplets above the liquid-solid phase transition point of water to be freezing rain should they freeze on contact with a supercooled surface. 							envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/FreezingRain			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400011	hail	object aggregate	Precipitation which is composed primarily of hail stones.	https://orcid.org/0000-0003-4808-4736	Individual units of hail are called hailstones. Thunderstorms that are characterized by strong updrafts, large liquid water contents, large cloud-drop sizes, and great vertical height are favorable to hail formation. The destructive effects of hailstorms upon plant and animal life, buildings and property, and aircraft in flight render them a prime object of weather modification studies. In aviation weather observations, hail is encoded A. Smaller particles of similar origin, formerly called small hail, may be classed as either ice pellets or snow pellets.	https://orcid.org/0000-0003-4808-4736						envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/FreezingRain			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400012	hail stone	ice mass	An ice mass which is in a ball-shape or irregular lump, with a diameter ranging from 5 to 50 millimeters (0.2 to 2.0 inches) or more, always produced by convective clouds, nearly always cumulonimbus. 									envoPolar|envoCryo				2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400013	falling snow	object aggregate	An object aggregate composed primarily of ice crystals falling through an atmosphere.						snowfall			envoPolar|envoCryo				2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:01000895												envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/Snowfall			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:01000880			An atmospheric storm during which intense hailfall occurs 	https://glossary.ametsoc.org/wiki/Hailstorm								envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/HailStorm			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400004	heavy snowfall	snowfall	Snowfall which has an increased rate.	https://w1.weather.gov/glossary/index.php?word=HEAVY+SNOW	This generally means snowfall accumulating to 4 inches or more in depth in 12 hours or less; or snowfall accumulating to 6 inches or more in depth in 24 hours or less. In forecasts, snowfall amounts are expressed as a range of values, e.g., "8 to 12 inches." However, in heavy snow situations where there is considerable uncertainty concerning the range of values, more appropriate phrases are used, such as "...up to 12 inches..." or alternatively "...8 inches or more...".	https://w1.weather.gov/glossary/index.php?word=HEAVY+SNOW		intense snowfall			heavy snow|intense snow	envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/HeavySnowfall			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400005	ice pellet	ice mass	An ice mass which is 1) transparent or translucent, 2) small, and rounded, spherically, or cylindrically shaped, and 3) less than 5 mm in diameter. 	https://orcid.org/0000-0003-4808-4736	They may be spherical, irregular, or (rarely) conical in shape. Ice pellets usually bounce when hitting hard ground and make a sound upon impact. They can fall as continuous precipitation or in showers. Now internationally recognized, ice pellets includes two basically different types of precipitation, known in the United States as 1) sleet or grains of ice, generally transparent, globular, solid grains of ice that have formed from the freezing of raindrops or the refreezing of largely melted snowflakes when falling through a below-freezing layer of air near the earth's surface; and 2) small hail, generally translucent particles, consisting of snow pellets encased in a thin layer of ice. The ice layer may form either by the accretion of droplets upon the snow pellet or by the melting and refreezing of the surface of the snow pellet.	https://orcid.org/0000-0003-4808-4736					grain of ice|ice grain|sleet|small hail	envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/IcePellet			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:01000882			An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces.  	https://orcid.org/0000-0003-4808-4736	Icestorms are associated with multiple hazards. Significant accumulations of ice pull down trees and utility lines resulting in loss of power and communication. These accumulations of ice make walking and driving extremely dangerous. Significant ice accumulations are usually accumulations of 0.25 inch or 0.60 cm or more. Has synonyms silver storm, glaze storm.	https://orcid.org/0000-0003-4808-4736	Note it is a hazard, could perhaps later link to https://github.com/Vocamp/Hazard or https://github.com/Vocamp/Hazard/blob/master/concept-map/ModifiedHazardousSituation.png  and https://github.com/SDG-InterfaceOntology/sdgio/issues/14 	ice storm|glaze storm|silver storm			glaze event|silver thaw	envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/IceStorm			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400006	lake-effect snowfall	snowfall	Snowfall which 1) is localized, 2) is convective, and 3) occurs as a result of a cold, dry air mass flowing over a lake with warmer waters and absorbing heat and moisture.	https://orcid.org/0000-0003-4808-4736	The formation of lake-effect snow depends on multiple factors, effecting the thresholds of temperature needed in the air and water masses. In the United States this phenomenon is most noted along the south and east shores of the Great Lakes during arctic cold-air outbreaks.	https://orcid.org/0000-0003-4808-4736|https://en.wikipedia.org/wiki/Lake-effect_snow 	The factors involved in this process are complex, and expert input is needed to refine this. Similar input is needed to create bay-effect and ocean-effect snow.   @Brandon: add axioms to relate this concept to proximity to a `lake`; perhaps using colocation and spatial region?	lake effect snow|lake-effect snow				envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/LakeEffectSnow			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400007	lake-effect snow storm	snowstorm	A snowstorm which is an intense form of lake-effect snowfall.	https://orcid.org/0000-0003-4808-4736	Please see "lake-effect snowfall" for further definition. A lake effect snowstorm is a snowstorm occurring near or downwind from the shore of a lake resulting from the warming (destabilization) and moistening of relatively cold air during passage over a warm body of water.	https://orcid.org/0000-0003-4808-4736	Add axioms to nest the lake-effect snowfall process in this one	lake effect snow storm				envoPolar|envoCryo	http://sweetontology.net/phenAtmoPrecipitation/LakeEffectSnowstorm			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
