Term label	SWEET Term IRI	SWEET Term Type	ENVO label	ENVO Term IRI	New term	Harmonized GCW Definition	ENVO definition	External definition and source	Tackled?	Notes																					
snow cover	http://sweetontology.net/phenHydro/SnowCover								Yes																						
snowslide	http://sweetontology.net/phenHydro/Snowslide					NA																									
