Term label	SWEET Term IRI	SWEET Term Type	ENVO label	ENVO Term IRI	New term	Harmonized GCW Definition	ENVO definition	External definition and source	Tackled?	Notes																					
Permafrost	http://seetontology.net/realmSoil/Permafrost								yes																						
																															
ActiveLayer	http://sweetontology.net/realmSoil/ActiveLayer								yes	added 11/9/2023																					
Cryosol	http://sweetontology.net/realmSoil/Cryosol								yes	added 11/9/2023																					
Gelisol	http://sweetontology.net/realmSoil/Gelisol								yes	added 11/9/2023																					
Talik	http://sweetontology.net/realmSoil/Talik								yes	added 11/9/2023																					
