Term label	SWEET Term IRI	SWEET Term Type	ENVO label	ENVO Term IRI	New term	Harmonized GCW Definition	ENVO definition	External definition and source	Tackled?	Notes																					
ice cap climate	http://sweetontology.net/realmClimateZone/IceCapClimate					NA																									
polar marine climate	http://sweetontology.net/realmClimateZone/PolarMarineClimate					NA																									
tundra climate	http://sweetontology.net/realmClimateZone/TundraClimate								yes																						
