Term label	SWEET Term IRI	SWEET Term Type	ENVO label	ENVO Term IRI	New term	Harmonized GCW Definition	ENVO definition	External definition and source	Tackled?	Notes																					
average snow cover duration	http://sweetontology.net/propTime/AverageSnowCoverDuration					NA																									
average winter duration	http://sweetontology.net/propTime/AverageWinterDuration					NA																									
snow cover duration	http://sweetontology.net/propTime/SnowCoverDuration					NA																									
winter duration	http://sweetontology.net/propTime/WinterDuration					NA																									
winter	http://sweetontology.net/reprTimeSeason/Winter	individual				NA																									
